2026/09/17 14:18:54 migrations applied
2026/09/17 14:18:54 metrics listening on :9103
2026/09/17 14:18:54 REST UserService listening on :8093
2026/09/17 14:18:54 gRPC UserService listening on :50063
[GIN] 2026/09/17 - 14:22:24 | 200 |    1.165102ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:25 | 200 |    1.593993ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:25 | 200 |    2.229812ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:25 | 200 |     2.75401ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:26 | 200 |    1.333445ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:26 | 200 |    1.756704ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:26 | 200 |    1.271787ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:27 | 200 |     994.508µs |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:27 | 200 |    2.355731ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:27 | 200 |     1.33381ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:27 | 200 |    1.559676ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:27 | 200 |    1.549292ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.322878ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.763294ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:28 | 200 |     1.26594ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.110977ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.222752ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.144022ms |       127.0.0.1 | GET      "/v1/drivers/20570d50-2846-42af-9947-8438bdb964be"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.875923ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.575238ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:28 | 200 |    1.433759ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
[GIN] 2026/09/17 - 14:22:28 | 200 |    2.620155ms |       127.0.0.1 | GET      "/v1/drivers/685afde3-f380-4c27-857b-7c61c1ee8abd"
[GIN] 2026/09/17 - 14:22:29 | 200 |    1.018002ms |       127.0.0.1 | GET      "/v1/drivers/2d90bbce-5e21-4d39-81be-719e18785dc2"
